name,MCXC,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes
MCXCJ0028.6-2338,J0028.6-2338,7.16375,-23.63722222,0.112,1.404549,2.3285,0.9024,RXCJ0028.6-2338,A42,
MCXCJ0041.7+2124,J0041.7+2124,10.44625,21.41388889,0.1014,1.000012,1.9071,0.8473,RXCJ0041.7+2124,A84,
MCXCJ0043.8+2424,J0043.8+2424,10.96708333,24.40194444,0.083,1.83959,2.8014,0.969,ZwCl235,ZwCl235,
MCXCJ0049.8+2426,J0049.8+2426,12.45208333,24.44111111,0.0815,1.04296,1.9841,0.8641,A104,A104,
MCXCJ0052.7-8015,J0052.7-8015,13.18708333,-80.26638889,0.1141,3.393306,3.9812,1.0783,RXCJ0052.7-8015,A2837,
MCXCJ0107.8-3643,J0107.8-3643,16.95458333,-36.72722222,0.1186,1.156778,2.0589,0.8642,RXCJ0107.8-3643,A2871,
MCXCJ0212.8-4707,J0212.8-4707,33.22458333,-47.13277778,0.115,1.162194,2.0701,0.8668,RXCJ0212.8-4707,A2988,
MCXCJ0704.4+6318,J0704.4+6318,106.1020833,63.31611111,0.098,1.576739,2.5235,0.9312,RXCJ0704.4+6318,A566,
MCXCJ0726.0+4122,J0726.0+4122,111.5020833,41.38222222,0.112,1.171477,2.0846,0.8697,RXCJ0726.0+4122,A580,
MCXCJ0736.4+3925,J0736.4+3925,114.1058333,39.43333333,0.1177,2.518069,3.3105,1.0128,RXCJ0736.4+3925,,C
MCXCJ0759.7+5400,J0759.7+5400,119.9283333,54.00166667,0.1032,1.08801,2.0052,0.861,RXCJ0759.7+5400,ZwCl0755.8+5408,
MCXCJ0819.6+6336,J0819.6+6336,124.9129167,63.61,0.119,1.43439,2.3468,0.9026,RXCJ0819.6+6336,RXJ0819.6+6336,
MCXCJ0821.0+0751,J0821.0+0751,125.2575,7.866111111,0.11,1.110969,2.0211,0.8614,RXCJ0821.0+0751,RXJ0820.9+0751,
MCXCJ0912.4+1556,J0912.4+1556,138.1241667,15.94305556,0.0851,1.312476,2.2769,0.9037,A763,A763,
MCXCJ1006.6+2554,J1006.6+2554,151.6645833,25.91,0.1162,1.197113,2.106,0.8715,RXCJ1006.6+2554,A923,
MCXCJ1027.9-0647,J1027.9-0647,156.9983333,-6.796111111,0.1176,1.095941,1.9936,0.8553,RXCJ1027.9-0647,A1023,X *
MCXCJ1130.3-1434,J1130.3-1434,172.58125,-14.58305556,0.1068,2.605129,3.4062,1.0262,RXCJ1130.3-1434,A1285,
MCXCJ1139.4-3327,J1139.4-3327,174.86375,-33.45388889,0.1076,1.21861,2.142,0.8789,RXCJ1139.4-3327,,
MCXCJ1143.5+4623,J1143.5+4623,175.87625,46.38444444,0.1167,2.786307,3.5238,1.0344,RXCJ1143.5+4623,A1361,
MCXCJ1144.6+6724,J1144.6+6724,176.1675,67.41,0.1159,1.559224,2.4747,0.9197,RXCJ1144.6+6724,A1366,
MCXCJ1215.4-3900,J1215.4-3900,183.8708333,-39.01527778,0.119,1.834651,2.7267,0.9489,RXCJ1215.4-3900,,
MCXCJ1332.9-2519,J1332.9-2519,203.2325,-25.32388889,0.1199,1.139833,2.0385,0.861,RXCJ1332.9-2519,,X
MCXCJ1336.1+5912,J1336.1+5912,204.0254167,59.20777778,0.0701,1.370998,2.3626,0.9193,RXCJ1336.1+5912,A1767,
MCXCJ1416.8-1158,J1416.8-1158,214.2145833,-11.97611111,0.0982,1.001648,1.9133,0.8491,RXCJ1416.8-1158,,X
MCXCJ1431.1+2538,J1431.1+2538,217.7795833,25.63888889,0.0908,1.191519,2.138,0.8833,RXCJ1431.1+2538,A1927,
MCXCJ1459.0-0843,J1459.0-0843,224.7645833,-8.725,0.1043,1.001337,1.9047,0.8461,RXCJ1459.0-0843,,
MCXCJ1516.5-0056,J1516.5-0056,229.1416667,0.948888889,0.1198,1.296543,2.2053,0.8839,RXCJ1516.5-0056,A2051,
MCXCJ1520.9+4840,J1520.9+4840,230.2270833,48.66944444,0.1076,1.696173,2.6205,0.94,RXCJ1520.9+4840,A2064,
MCXCJ1539.8+3043,J1539.8+3043,234.9529167,30.71722222,0.098,2.257681,3.1409,1.0017,RXCJ1539.8+3043,A2110,
MCXCJ1601.3+5354,J1601.3+5354,240.3475,53.90611111,0.1068,1.238344,2.1643,0.8822,RXCJ1601.3+5354,A2149,
MCXCJ2125.2-0657,J2125.2-0657,321.3016667,-6.965555556,0.1153,1.018847,1.91,0.8438,RXCJ2125.2-0657,,
MCXCJ2250.3+1054,J2250.3+1054,342.5875,10.9025,0.0768,1.558638,2.5431,0.9401,RXCJ2250.3+1054,A2495,
MCXCJ2350.5+2931,J2350.5+2931,357.6441667,29.53111111,0.095,1.074818,2.0019,0.8629,ZwCl9077,ZwCl9077,
MCXCJ2359.9-3928,J2359.9-3928,359.9820833,-39.47972222,0.1024,1.22609,2.1579,0.8826,RXCJ2359.9-3928,A4068,
